City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,80.15,81,100,14.74,overcast clouds
1,Nieuw Nickerie,SR,5.95,-56.9833,79.56,83,87,10.65,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,65.86,48,20,13.8,few clouds
3,Oro Valley,US,32.3909,-110.9665,67.41,17,0,1.99,clear sky
4,Vaini,TO,-21.2,-175.2,75.36,94,100,10.36,light rain
5,Dixon,US,38.4455,-121.8233,67.06,59,0,5.75,clear sky
6,Kapaa,US,22.0752,-159.319,75.52,77,75,1.99,broken clouds
7,Kutum,SD,14.2,24.6667,56.07,18,61,12.37,broken clouds
8,Mataura,NZ,-46.1927,168.8643,47.48,74,5,1.28,clear sky
9,Sept-Iles,CA,50.2001,-66.3821,6.06,59,40,7.0,scattered clouds
10,Albany,US,42.6001,-73.9662,28.47,52,57,1.99,broken clouds
11,Escanaba,US,45.7453,-87.0646,28.67,73,100,5.75,overcast clouds
12,Mezen,RU,65.8522,44.24,16.66,92,100,10.67,overcast clouds
13,Solnechnyy,RU,50.7214,136.6319,-5.91,99,97,2.37,overcast clouds
14,Bredasdorp,ZA,-34.5322,20.0403,67.32,73,0,6.91,clear sky
15,Tasiilaq,GL,65.6145,-37.6368,23.16,60,100,41.07,overcast clouds
16,Adrar,MR,20.5022,-10.0711,71.15,9,0,9.04,clear sky
17,Rikitea,PF,-23.1203,-134.9692,79.12,70,1,17.02,clear sky
18,Pangnirtung,CA,66.1451,-65.7125,-31.0,68,75,0.0,broken clouds
19,Sant Julia De Loria,AD,42.4625,1.4825,37.99,41,32,7.43,scattered clouds
20,Blairmore,CA,49.6,-114.4353,41.92,48,93,21.85,overcast clouds
21,Teahupoo,PF,-17.8333,-149.2667,80.53,76,67,21.9,light rain
22,Terre Haute,US,39.4667,-87.4139,38.57,57,0,1.01,clear sky
23,Zhanaozen,KZ,43.3,52.8,30.83,75,83,7.34,broken clouds
24,Butaritari,KI,3.0707,172.7902,81.61,77,48,16.08,light rain
25,Sitka,US,57.0531,-135.33,44.49,76,100,17.27,moderate rain
26,Anchorage,US,61.2181,-149.9003,27.63,90,0,1.99,clear sky
27,Bezhetsk,RU,57.7851,36.6965,15.66,96,90,7.02,overcast clouds
28,Punta Arenas,CL,-53.15,-70.9167,69.91,52,75,16.11,broken clouds
29,Torbay,CA,47.6666,-52.7314,16.57,80,75,16.11,broken clouds
30,Mathathane,BW,-22.2687,28.7495,73.02,59,0,16.26,clear sky
31,Chuy,UY,-33.6971,-53.4616,73.94,40,4,16.46,clear sky
32,La Ronge,CA,55.1001,-105.2842,3.45,78,100,10.36,overcast clouds
33,Mineral Wells,US,32.8085,-98.1128,56.32,35,0,4.61,clear sky
34,Katsuura,JP,35.1333,140.3,35.71,49,67,10.83,broken clouds
35,Wana,PK,32.2989,69.5725,42.33,80,13,2.01,few clouds
36,Grand Gaube,MU,-20.0064,57.6608,79.38,81,78,3.0,broken clouds
37,Buala,SB,-8.145,159.5921,80.94,84,100,8.97,light rain
38,Georgetown,MY,5.4112,100.3354,78.73,92,40,0.0,scattered clouds
39,Qui Nhon,VN,13.7667,109.2333,70.18,89,89,7.11,overcast clouds
40,Pisco,PE,-13.7,-76.2167,71.02,88,20,9.22,mist
